department,code,title,description,credit,advised_requisite,link
b'APPPHYS',b'514',b' Applied Physics Seminar ',"b'Research presentations given by a mix of faculty, external lecturers, and students.  The goal of the seminar is to promote awareness of forefront issues in applied physics and to provide for more interactions among participants in the Applied Physics program. '",2,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS514099&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'541',b' Applied Quantum Mechanics II ',"b'Continuation of nonrelativistic quantum mechanics. Advanced angular momentum theory, second quantization, non-relativistic quantum electrodynamics, advanced scattering theory, density matrix formalism, reservoir theory. '",3,b'APPPHYS 540.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS541001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'546',b' Ultrafast Optics ',"b'Propagation of ultrashort optical pulses in linear and nonlinear media, and through dispersive optical elements. Laser mode-locking and ultrashort pulse generation. Chirped-pulse amplification. Experimental techniques for high time resolution. Ultrafast optoelectronics. Survey of ultrafast high field interactions. '",3,b'APPPHYS 537.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS546001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'551',b' Lasers ',"b'Complete study of laser operation: the atom-field interaction; homogeneous and inhomogeneous broadening mechanisms; atomic rate equations; gain and saturation; laser oscillation; laser resonators, modes, and cavity equations; cavity modes; laser dynamics, Q-switching and mode-locking. Special topics such as femto-seconds lasers and ultrahigh power lasers.'",3,b'EECS 537 or 538 and Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS551001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'551',b' Lasers ',"b'Complete study of laser operation: the atom-field interaction; homogeneous and inhomogeneous broadening mechanisms; atomic rate equations; gain and saturation; laser oscillation; laser resonators, modes, and cavity equations; cavity modes; laser dynamics, Q-switching and mode-locking. Special topics such as femto-seconds lasers and ultrahigh power lasers.'",3,b'EECS 537 or 538 and Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS551881&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'611',b' Nonlinear Optics ',"b'Formalism of wave propagation in nonlinear media; susceptibility tensor; second harmonic generation and three-wave mixing; phase matching; third order nonlinearities and four-wave mixing processes; stimulated Raman and Brillouin scattering. Special topics: nonlinear optics in fibers, including solitons and self-phase modulation.'",3,b'EECS 537 or 538 or 530. Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS611001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'639',b' Heat Transfer Physics ',"b'This course combines fundamentals of statistical thermodynamics, quantum mechanics, transport theories, computational molecular dynamics, solid-state physics, and radiation transport, as related to heat transfer and thermal energy conversion. It presents a unified theory of heat transfer physics in its modern applications. '",3,"b'MECHENG 235 and 335, or equivalent.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS639001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'644',b' Advanced Atomic Physics ',"b'Laser atom interactions: Absorption, emission, and saturation, theory of line width, multiphoton absorption, stimulated and spontaneous Raman scattering; single photon, multiphoton and above-threshold ionization; Rydberg physics; AC stark shifts and ponderomotive effects; multichannel quantum defect theory; Floquet theory; Mechanical effects of light on atoms (atom traps, molasses), atom interferometry.'",3,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS644001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'672',b' Plasma and Controlled Fusion II ',"b'Waves in non-uniform plasmas, magnetic shear; absorption, reflection, and tunneling gradient-driven microinstabilities; BGK mode and nonlinear Landau damping; macroscopic instabilities and their stabilization; non-ideal MHD effects.'",3,b'NERS 571.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS672001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'APPPHYS',b'715',b' Independent Research ',b'Intended for individualized student non-thesis research under  the supervision of Applied Physics\r\n                          faculty.   Must be arranged with the faculty member and approved by the program.',1,b'Permission of Program Director. Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070APPPHYS715001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
